GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MaVille,default,Main,5,0,0,0,3,0,2,0,2,0
MaVille,Utils,Language,86,0,22,0,16,0,26,0,15,0
MaVille,backend,Project,30,0,0,0,11,0,3,0,3,0
MaVille,backend,Database,81,0,4,0,17,0,8,0,6,0
MaVille,backend,District,3,0,0,0,1,0,1,0,1,0
MaVille,backend,Project.progress,21,0,0,0,4,0,1,0,1,0
MaVille,Users,Resident,37,0,0,0,12,0,8,0,8,0
MaVille,Users,Intervenant,55,0,0,0,16,0,13,0,13,0
MaVille,Users,User,8,35,0,0,2,12,2,7,2,7
MaVille,UI_UX,Speaker.STATE,57,0,0,0,10,0,1,0,1,0
MaVille,UI_UX,Speaker,178,0,32,0,59,0,31,0,7,0
MaVille,UI_UX,Dialog,139,0,4,0,31,0,17,0,15,0
